"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Mar-10-2020)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Connecticut,EIP,2016-17,2016,40,0-4 yr,0,0
Connecticut,EIP,2016-17,2016,41,0-4 yr,0,0
Connecticut,EIP,2016-17,2016,42,0-4 yr,0,0
Connecticut,EIP,2016-17,2016,43,0-4 yr,0,0
Connecticut,EIP,2016-17,2016,44,0-4 yr,0,0
Connecticut,EIP,2016-17,2016,45,0-4 yr,0,0
Connecticut,EIP,2016-17,2016,46,0-4 yr,0,0
Connecticut,EIP,2016-17,2016,47,0-4 yr,0,0
Connecticut,EIP,2016-17,2016,48,0-4 yr,1.9,1.9
Connecticut,EIP,2016-17,2016,49,0-4 yr,1.9,0
Connecticut,EIP,2016-17,2016,50,0-4 yr,1.9,0
Connecticut,EIP,2016-17,2016,51,0-4 yr,1.9,0
Connecticut,EIP,2016-17,2016,52,0-4 yr,3.9,1.9
Connecticut,EIP,2016-17,2017,1,0-4 yr,3.9,0
Connecticut,EIP,2016-17,2017,2,0-4 yr,3.9,0
Connecticut,EIP,2016-17,2017,3,0-4 yr,7.7,3.9
Connecticut,EIP,2016-17,2017,4,0-4 yr,9.7,1.9
Connecticut,EIP,2016-17,2017,5,0-4 yr,21.3,11.6
Connecticut,EIP,2016-17,2017,6,0-4 yr,32.8,11.6
Connecticut,EIP,2016-17,2017,7,0-4 yr,40.6,7.7
Connecticut,EIP,2016-17,2017,8,0-4 yr,42.5,1.9
Connecticut,EIP,2016-17,2017,9,0-4 yr,42.5,0
Connecticut,EIP,2016-17,2017,10,0-4 yr,44.4,1.9
Connecticut,EIP,2016-17,2017,11,0-4 yr,44.4,0
Connecticut,EIP,2016-17,2017,12,0-4 yr,44.4,0
Connecticut,EIP,2016-17,2017,13,0-4 yr,44.4,0
Connecticut,EIP,2016-17,2017,14,0-4 yr,48.3,3.9
Connecticut,EIP,2016-17,2017,15,0-4 yr,48.3,0
Connecticut,EIP,2016-17,2017,16,0-4 yr,48.3,0
Connecticut,EIP,2016-17,2017,17,0-4 yr,48.3,0
Connecticut,EIP,2016-17,2016,40,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,41,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,42,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,43,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,44,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,45,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,46,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,47,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,48,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,49,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,50,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,51,5-17 yr,0,0
Connecticut,EIP,2016-17,2016,52,5-17 yr,0,0
Connecticut,EIP,2016-17,2017,1,5-17 yr,1.3,1.3
Connecticut,EIP,2016-17,2017,2,5-17 yr,1.9,0.6
Connecticut,EIP,2016-17,2017,3,5-17 yr,3.2,1.3
Connecticut,EIP,2016-17,2017,4,5-17 yr,4.5,1.3
Connecticut,EIP,2016-17,2017,5,5-17 yr,5.1,0.6
Connecticut,EIP,2016-17,2017,6,5-17 yr,6.4,1.3
Connecticut,EIP,2016-17,2017,7,5-17 yr,7.7,1.3
Connecticut,EIP,2016-17,2017,8,5-17 yr,8.4,0.6
Connecticut,EIP,2016-17,2017,9,5-17 yr,8.4,0
Connecticut,EIP,2016-17,2017,10,5-17 yr,8.4,0
Connecticut,EIP,2016-17,2017,11,5-17 yr,9.7,1.3
Connecticut,EIP,2016-17,2017,12,5-17 yr,9.7,0
Connecticut,EIP,2016-17,2017,13,5-17 yr,9.7,0
Connecticut,EIP,2016-17,2017,14,5-17 yr,10.9,1.3
Connecticut,EIP,2016-17,2017,15,5-17 yr,10.9,0
Connecticut,EIP,2016-17,2017,16,5-17 yr,10.9,0
Connecticut,EIP,2016-17,2017,17,5-17 yr,10.9,0
Connecticut,EIP,2016-17,2016,40,18-49 yr,0,0
Connecticut,EIP,2016-17,2016,41,18-49 yr,0,0
Connecticut,EIP,2016-17,2016,42,18-49 yr,0.2,0.2
Connecticut,EIP,2016-17,2016,43,18-49 yr,0.2,0
Connecticut,EIP,2016-17,2016,44,18-49 yr,0.2,0
Connecticut,EIP,2016-17,2016,45,18-49 yr,0.2,0
Connecticut,EIP,2016-17,2016,46,18-49 yr,0.2,0
Connecticut,EIP,2016-17,2016,47,18-49 yr,0.5,0.2
Connecticut,EIP,2016-17,2016,48,18-49 yr,0.5,0
Connecticut,EIP,2016-17,2016,49,18-49 yr,0.5,0
Connecticut,EIP,2016-17,2016,50,18-49 yr,0.7,0.2
Connecticut,EIP,2016-17,2016,51,18-49 yr,1.2,0.5
Connecticut,EIP,2016-17,2016,52,18-49 yr,1.2,0
Connecticut,EIP,2016-17,2017,1,18-49 yr,1.7,0.5
Connecticut,EIP,2016-17,2017,2,18-49 yr,2.1,0.5
Connecticut,EIP,2016-17,2017,3,18-49 yr,4.3,2.1
Connecticut,EIP,2016-17,2017,4,18-49 yr,5.7,1.4
Connecticut,EIP,2016-17,2017,5,18-49 yr,10.2,4.5
Connecticut,EIP,2016-17,2017,6,18-49 yr,13.3,3.1
Connecticut,EIP,2016-17,2017,7,18-49 yr,15.9,2.6
Connecticut,EIP,2016-17,2017,8,18-49 yr,18.3,2.4
Connecticut,EIP,2016-17,2017,9,18-49 yr,19.7,1.4
Connecticut,EIP,2016-17,2017,10,18-49 yr,20.6,0.9
Connecticut,EIP,2016-17,2017,11,18-49 yr,22.1,1.4
Connecticut,EIP,2016-17,2017,12,18-49 yr,23.7,1.7
Connecticut,EIP,2016-17,2017,13,18-49 yr,24.4,0.7
Connecticut,EIP,2016-17,2017,14,18-49 yr,26.1,1.7
Connecticut,EIP,2016-17,2017,15,18-49 yr,26.8,0.7
Connecticut,EIP,2016-17,2017,16,18-49 yr,27.3,0.5
Connecticut,EIP,2016-17,2017,17,18-49 yr,28.2,0.9
