"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Mar-16-2020)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
New York - Albany,EIP,2014-15,2014,40,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,41,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,42,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,43,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,44,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,45,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,46,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,47,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,48,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,49,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,50,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,51,0-4 yr,0,0
New York - Albany,EIP,2014-15,2014,52,0-4 yr,5.6,5.6
New York - Albany,EIP,2014-15,2014,53,0-4 yr,13,7.4
New York - Albany,EIP,2014-15,2015,1,0-4 yr,14.8,1.9
New York - Albany,EIP,2014-15,2015,2,0-4 yr,20.4,5.6
New York - Albany,EIP,2014-15,2015,3,0-4 yr,20.4,0
New York - Albany,EIP,2014-15,2015,4,0-4 yr,27.8,7.4
New York - Albany,EIP,2014-15,2015,5,0-4 yr,31.5,3.7
New York - Albany,EIP,2014-15,2015,6,0-4 yr,33.3,1.9
New York - Albany,EIP,2014-15,2015,7,0-4 yr,33.3,0
New York - Albany,EIP,2014-15,2015,8,0-4 yr,35.2,1.9
New York - Albany,EIP,2014-15,2015,9,0-4 yr,37,1.9
New York - Albany,EIP,2014-15,2015,10,0-4 yr,40.7,3.7
New York - Albany,EIP,2014-15,2015,11,0-4 yr,42.6,1.9
New York - Albany,EIP,2014-15,2015,12,0-4 yr,44.4,1.9
New York - Albany,EIP,2014-15,2015,13,0-4 yr,44.4,0
New York - Albany,EIP,2014-15,2015,14,0-4 yr,44.4,0
New York - Albany,EIP,2014-15,2015,15,0-4 yr,44.4,0
New York - Albany,EIP,2014-15,2015,16,0-4 yr,46.3,1.9
New York - Albany,EIP,2014-15,2015,17,0-4 yr,48.1,1.9
New York - Albany,EIP,2014-15,2014,40,5-17 yr,0,0
New York - Albany,EIP,2014-15,2014,41,5-17 yr,0,0
New York - Albany,EIP,2014-15,2014,42,5-17 yr,0.6,0.6
New York - Albany,EIP,2014-15,2014,43,5-17 yr,0.6,0
New York - Albany,EIP,2014-15,2014,44,5-17 yr,0.6,0
New York - Albany,EIP,2014-15,2014,45,5-17 yr,0.6,0
New York - Albany,EIP,2014-15,2014,46,5-17 yr,0.6,0
New York - Albany,EIP,2014-15,2014,47,5-17 yr,0.6,0
New York - Albany,EIP,2014-15,2014,48,5-17 yr,0.6,0
New York - Albany,EIP,2014-15,2014,49,5-17 yr,1.3,0.6
New York - Albany,EIP,2014-15,2014,50,5-17 yr,2.6,1.3
New York - Albany,EIP,2014-15,2014,51,5-17 yr,3.2,0.6
New York - Albany,EIP,2014-15,2014,52,5-17 yr,5.8,2.6
New York - Albany,EIP,2014-15,2014,53,5-17 yr,5.8,0
New York - Albany,EIP,2014-15,2015,1,5-17 yr,7.1,1.3
New York - Albany,EIP,2014-15,2015,2,5-17 yr,10.3,3.2
New York - Albany,EIP,2014-15,2015,3,5-17 yr,10.9,0.6
New York - Albany,EIP,2014-15,2015,4,5-17 yr,11.6,0.6
New York - Albany,EIP,2014-15,2015,5,5-17 yr,12.9,1.3
New York - Albany,EIP,2014-15,2015,6,5-17 yr,12.9,0
New York - Albany,EIP,2014-15,2015,7,5-17 yr,14.8,1.9
New York - Albany,EIP,2014-15,2015,8,5-17 yr,15.4,0.6
New York - Albany,EIP,2014-15,2015,9,5-17 yr,15.4,0
New York - Albany,EIP,2014-15,2015,10,5-17 yr,15.4,0
New York - Albany,EIP,2014-15,2015,11,5-17 yr,15.4,0
New York - Albany,EIP,2014-15,2015,12,5-17 yr,15.4,0
New York - Albany,EIP,2014-15,2015,13,5-17 yr,15.4,0
New York - Albany,EIP,2014-15,2015,14,5-17 yr,15.4,0
New York - Albany,EIP,2014-15,2015,15,5-17 yr,15.4,0
New York - Albany,EIP,2014-15,2015,16,5-17 yr,15.4,0
New York - Albany,EIP,2014-15,2015,17,5-17 yr,15.4,0
New York - Albany,EIP,2014-15,2014,40,18-49 yr,0,0
New York - Albany,EIP,2014-15,2014,41,18-49 yr,0,0
New York - Albany,EIP,2014-15,2014,42,18-49 yr,0,0
New York - Albany,EIP,2014-15,2014,43,18-49 yr,0,0
New York - Albany,EIP,2014-15,2014,44,18-49 yr,0,0
New York - Albany,EIP,2014-15,2014,45,18-49 yr,0,0
New York - Albany,EIP,2014-15,2014,46,18-49 yr,0,0
New York - Albany,EIP,2014-15,2014,47,18-49 yr,0,0
New York - Albany,EIP,2014-15,2014,48,18-49 yr,0,0
New York - Albany,EIP,2014-15,2014,49,18-49 yr,0.2,0.2
New York - Albany,EIP,2014-15,2014,50,18-49 yr,0.2,0
New York - Albany,EIP,2014-15,2014,51,18-49 yr,1.1,0.9
New York - Albany,EIP,2014-15,2014,52,18-49 yr,3,1.8
New York - Albany,EIP,2014-15,2014,53,18-49 yr,3.9,0.9
New York - Albany,EIP,2014-15,2015,1,18-49 yr,5.9,2.1
New York - Albany,EIP,2014-15,2015,2,18-49 yr,7.8,1.8
New York - Albany,EIP,2014-15,2015,3,18-49 yr,9.2,1.4
New York - Albany,EIP,2014-15,2015,4,18-49 yr,11.2,2.1
New York - Albany,EIP,2014-15,2015,5,18-49 yr,12.4,1.1
New York - Albany,EIP,2014-15,2015,6,18-49 yr,13.3,0.9
New York - Albany,EIP,2014-15,2015,7,18-49 yr,13.5,0.2
New York - Albany,EIP,2014-15,2015,8,18-49 yr,13.7,0.2
New York - Albany,EIP,2014-15,2015,9,18-49 yr,14.2,0.5
New York - Albany,EIP,2014-15,2015,10,18-49 yr,14.2,0
New York - Albany,EIP,2014-15,2015,11,18-49 yr,14.6,0.5
New York - Albany,EIP,2014-15,2015,12,18-49 yr,15.1,0.5
New York - Albany,EIP,2014-15,2015,13,18-49 yr,15.1,0
New York - Albany,EIP,2014-15,2015,14,18-49 yr,15.6,0.5
New York - Albany,EIP,2014-15,2015,15,18-49 yr,16.5,0.9
New York - Albany,EIP,2014-15,2015,16,18-49 yr,16.9,0.5
New York - Albany,EIP,2014-15,2015,17,18-49 yr,17.4,0.5
New York - Albany,EIP,2014-15,2014,40,50-64 yr,0,0
New York - Albany,EIP,2014-15,2014,41,50-64 yr,0,0
New York - Albany,EIP,2014-15,2014,42,50-64 yr,0,0
New York - Albany,EIP,2014-15,2014,43,50-64 yr,0,0
New York - Albany,EIP,2014-15,2014,44,50-64 yr,0.4,0.4
