borough,age,2010,2015,2020,2025,2030,2035,2040
bronx,0-4,103144,106770,109972,111127,110880,110982,112571
bronx,5-9,98664,102008,105775,109843,111137,110893,110942
bronx,10-14,99159,92423,95703,100081,104065,105297,105010
bronx,15-19,115662,105751,98987,103114,107753,111879,113100
bronx,20-24,112897,124181,113827,107423,111941,116901,121256
bronx,25-29,105710,115853,127995,117887,111171,116011,121249
bronx,30-34,97824,99969,109797,122434,112812,106338,110963
bronx,35-39,91016,91397,93530,103582,115705,106610,100424
bronx,40-44,96073,86719,87217,89976,99685,111331,102576
bronx,45-49,97569,92337,83496,84693,87465,96914,108171
bronx,50-54,88029,94470,89495,81571,82859,85647,94910
bronx,55-59,72545,79637,85632,81892,74718,76007,78521
bronx,60-64,60934,66842,73506,79872,76473,69889,71076
bronx,65-69,45349,51894,56988,63425,69011,66253,60560
bronx,70-74,34794,37890,43380,48249,53737,58687,56320
bronx,75-79,26199,28617,31168,36192,40250,45066,49153
bronx,80-84,19501,18633,20292,22515,26053,29204,32582
bronx,85+,20039,20334,20028,21399,23283,26583,29861
brooklyn,0-4,180353,186547,186886,184273,182152,182974,186465
brooklyn,5-9,162302,173890,180252,182013,179508,177289,178081
brooklyn,10-14,159404,155314,166761,174242,175992,173419,171265
brooklyn,15-19,173672,162365,158561,171398,179052,180690,178066
brooklyn,20-24,199153,192162,180072,177078,191335,199658,201457
brooklyn,25-29,226516,229152,221421,208706,205220,221800,231531
brooklyn,30-34,206266,218546,221544,215764,203416,199873,216025
brooklyn,35-39,180888,193533,205525,210019,204593,192741,189362
brooklyn,40-44,166998,169246,181452,194294,198551,193332,182148
brooklyn,45-49,167402,157171,159615,172580,184841,188774,183817
brooklyn,50-54,163403,162090,152501,156182,168925,180913,184707
brooklyn,55-59,145029,145484,144647,137394,140742,152292,163132
brooklyn,60-64,126915,136873,137606,138164,131258,134559,145624
brooklyn,65-69,85190,105356,113940,115961,116468,110838,113613
brooklyn,70-74,70864,74742,92570,101424,103251,104025,99000
brooklyn,75-79,52908,57753,61041,76743,84089,86085,86725
brooklyn,80-84,43509,38183,41717,45047,56472,62490,63958
brooklyn,85+,42139,44437,42341,44964,48144,57595,65549
manhattan,0-4,76579,78283,82096,83225,80452,77272,76687
manhattan,5-9,61323,65822,68243,72011,72942,69971,66801
manhattan,10-14,58229,55455,60331,62902,66322,66700,63630
manhattan,15-19,77462,71544,69487,74662,77190,80181,80224
manhattan,20-24,141558,127856,118301,114974,123950,127980,132854
manhattan,25-29,186733,200507,180070,165213,159757,173578,179510
manhattan,30-34,154501,174702,190129,171652,157176,150919,163317
manhattan,35-39,122916,127686,146480,160424,144721,131503,125524
manhattan,40-44,111228,104852,110439,127417,139365,124857,112875
manhattan,45-49,104156,99083,94732,100358,115597,125533,111904
manhattan,50-54,98813,97815,94242,90711,96020,109985,118851
manhattan,55-59,92648,88427,88669,86013,82751,87091,99314
manhattan,60-64,85574,87219,84257,85058,82434,78940,82682
manhattan,65-69,65344,73878,76334,74352,74940,72279,68861
manhattan,70-74,50025,55973,64227,67044,65211,65475,62794
manhattan,75-79,38366,41521,47159,54850,57160,55508,55376
manhattan,80-84,30031,28300,31115,35967,41717,43555,42018
manhattan,85+,30387,31774,31971,34741,39015,44965,48395
queens,0-4,133575,135493,138141,139574,139958,140733,142459
queens,5-9,124735,130325,132342,133933,135413,135764,136512
queens,10-14,124320,123672,129351,130384,132038,133473,133813
queens,15-19,140119,134759,134198,139314,140488,142218,143734
queens,20-24,162417,169044,162692,161057,167330,168741,170836
queens,25-29,187158,192627,200730,191983,190144,197605,199281
queens,30-34,179207,183463,189015,195559,187152,185352,192639
queens,35-39,166007,168718,172928,176806,183062,175208,173523
queens,40-44,163368,157522,160306,163144,166859,172806,165416
queens,45-49,165141,154894,149550,151164,153981,157484,163104
queens,50-54,160216,160818,151019,144896,146607,149458,152805
queens,55-59,138186,146776,147504,137653,132201,133927,136566
queens,60-64,117334,129053,137219,137155,128104,123251,124901
queens,65-69,84526,97766,107634,113855,113909,106712,102706
queens,70-74,67211,71448,82663,90661,95957,96418,90365
queens,75-79,51609,53828,57287,66138,72554,77288,77671
queens,80-84,42422,36701,38275,40828,47012,52089,55423
queens,85+,42451,42582,39441,39327,40782,45826,50895
staten island,0-4,28339,28116,28683,29137,28984,28562,28244
staten island,5-9,30015,29595,29394,29890,30397,30253,29816
staten island,10-14,30797,30703,30307,30001,30541,31074,30932
staten island,15-19,32929,31364,31299,30810,30541,31094,31626
staten island,20-24,31458,32832,31311,31151,30697,30448,31000
staten island,25-29,29988,32257,33740,32035,31903,31443,31186
staten island,30-34,29859,31046,33431,34859,33128,33015,32542
staten island,35-39,31472,29905,31131,33418,34883,33175,33066
staten island,40-44,34158,31758,30214,31354,33688,35191,33478
staten island,45-49,36005,32513,30275,28721,29839,32087,33518
staten island,50-54,35743,36881,33340,30962,29404,30583,32891
staten island,55-59,31253,33673,34787,31367,29162,27735,28857
staten island,60-64,27370,29292,31599,32593,29419,27407,26070
staten island,65-69,19124,24237,25968,27992,28906,26174,24379
staten island,70-74,13507,16733,21232,22754,24548,25464,23065
staten island,75-79,10595,10968,13581,17259,18508,20104,20853
staten island,80-84,8263,7981,8259,10249,12989,14071,15265
staten island,85+,7855,8505,8604,8888,10212,12639,14321
