"","date","borough","syndrome","Ages 0-4 years","Ages 18-64 years","Ages 5-17 years","Ages 65+ years","All age groups","o65","u5","dow","epiyr","jul1.date","day.index"
"3",2016-01-01,"Citywide","Respiratory",485,511,162,199,1357,199,485,"Friday",2015,2015-07-01,184
"10",2016-01-02,"Citywide","Respiratory",539,604,180,282,1605,282,539,"Saturday",2015,2015-07-01,185
"17",2016-01-03,"Citywide","Respiratory",472,556,175,227,1430,227,472,"Sunday",2015,2015-07-01,186
"24",2016-01-04,"Citywide","Respiratory",414,656,182,286,1538,286,414,"Monday",2015,2015-07-01,187
"31",2016-01-05,"Citywide","Respiratory",335,615,160,242,1352,242,335,"Tuesday",2015,2015-07-01,188
"38",2016-01-06,"Citywide","Respiratory",335,621,157,272,1385,272,335,"Wednesday",2015,2015-07-01,189
"45",2016-01-07,"Citywide","Respiratory",308,599,155,257,1319,257,308,"Thursday",2015,2015-07-01,190
"52",2016-01-08,"Citywide","Respiratory",284,613,141,274,1312,274,284,"Friday",2015,2015-07-01,191
"59",2016-01-09,"Citywide","Respiratory",311,549,138,221,1219,221,311,"Saturday",2015,2015-07-01,192
"66",2016-01-10,"Citywide","Respiratory",314,529,140,229,1212,229,314,"Sunday",2015,2015-07-01,193
"73",2016-01-11,"Citywide","Respiratory",330,669,184,295,1478,295,330,"Monday",2015,2015-07-01,194
"80",2016-01-12,"Citywide","Respiratory",303,626,201,251,1381,251,303,"Tuesday",2015,2015-07-01,195
"87",2016-01-13,"Citywide","Respiratory",285,539,173,234,1231,234,285,"Wednesday",2015,2015-07-01,196
"94",2016-01-14,"Citywide","Respiratory",267,576,181,266,1290,266,267,"Thursday",2015,2015-07-01,197
"101",2016-01-15,"Citywide","Respiratory",253,539,153,260,1205,260,253,"Friday",2015,2015-07-01,198
"108",2016-01-16,"Citywide","Respiratory",301,521,130,233,1185,233,301,"Saturday",2015,2015-07-01,199
"115",2016-01-17,"Citywide","Respiratory",311,484,157,215,1167,215,311,"Sunday",2015,2015-07-01,200
"122",2016-01-18,"Citywide","Respiratory",352,574,167,226,1319,226,352,"Monday",2015,2015-07-01,201
"129",2016-01-19,"Citywide","Respiratory",308,593,253,233,1387,233,308,"Tuesday",2015,2015-07-01,202
"136",2016-01-20,"Citywide","Respiratory",264,602,219,258,1343,258,264,"Wednesday",2015,2015-07-01,203
"143",2016-01-21,"Citywide","Respiratory",296,571,201,259,1327,259,296,"Thursday",2015,2015-07-01,204
"150",2016-01-22,"Citywide","Respiratory",248,527,136,244,1155,244,248,"Friday",2015,2015-07-01,205
"157",2016-01-23,"Citywide","Respiratory",102,231,41,96,470,96,102,"Saturday",2015,2015-07-01,206
"164",2016-01-24,"Citywide","Respiratory",245,414,118,180,957,180,245,"Sunday",2015,2015-07-01,207
"171",2016-01-25,"Citywide","Respiratory",319,704,189,296,1508,296,319,"Monday",2015,2015-07-01,208
"178",2016-01-26,"Citywide","Respiratory",282,680,231,268,1461,268,282,"Tuesday",2015,2015-07-01,209
"185",2016-01-27,"Citywide","Respiratory",302,656,204,261,1423,261,302,"Wednesday",2015,2015-07-01,210
"192",2016-01-28,"Citywide","Respiratory",291,632,190,235,1348,235,291,"Thursday",2015,2015-07-01,211
"199",2016-01-29,"Citywide","Respiratory",250,582,167,283,1282,283,250,"Friday",2015,2015-07-01,212
"206",2016-01-30,"Citywide","Respiratory",243,517,165,189,1114,189,243,"Saturday",2015,2015-07-01,213
"213",2016-01-31,"Citywide","Respiratory",276,523,185,182,1166,182,276,"Sunday",2015,2015-07-01,214
"220",2016-02-01,"Citywide","Respiratory",254,625,239,309,1427,309,254,"Monday",2015,2015-07-01,215
"227",2016-02-02,"Citywide","Respiratory",296,678,238,249,1461,249,296,"Tuesday",2015,2015-07-01,216
"234",2016-02-03,"Citywide","Respiratory",304,619,211,215,1349,215,304,"Wednesday",2015,2015-07-01,217
"241",2016-02-04,"Citywide","Respiratory",258,665,237,249,1409,249,258,"Thursday",2015,2015-07-01,218
"248",2016-02-05,"Citywide","Respiratory",257,553,169,192,1171,192,257,"Friday",2015,2015-07-01,219
"255",2016-02-06,"Citywide","Respiratory",293,586,197,202,1278,202,293,"Saturday",2015,2015-07-01,220
"262",2016-02-07,"Citywide","Respiratory",288,601,211,216,1316,216,288,"Sunday",2015,2015-07-01,221
"269",2016-02-08,"Citywide","Respiratory",282,682,227,290,1481,290,282,"Monday",2015,2015-07-01,222
"276",2016-02-09,"Citywide","Respiratory",315,755,291,276,1637,276,315,"Tuesday",2015,2015-07-01,223
"283",2016-02-10,"Citywide","Respiratory",262,734,281,280,1557,280,262,"Wednesday",2015,2015-07-01,224
"290",2016-02-11,"Citywide","Respiratory",241,670,196,220,1327,220,241,"Thursday",2015,2015-07-01,225
"297",2016-02-12,"Citywide","Respiratory",202,588,161,243,1194,243,202,"Friday",2015,2015-07-01,226
"304",2016-02-13,"Citywide","Respiratory",258,514,133,210,1115,210,258,"Saturday",2015,2015-07-01,227
"311",2016-02-14,"Citywide","Respiratory",252,497,140,201,1090,201,252,"Sunday",2015,2015-07-01,228
"318",2016-02-15,"Citywide","Respiratory",314,694,223,283,1514,283,314,"Monday",2015,2015-07-01,229
"325",2016-02-16,"Citywide","Respiratory",316,824,218,271,1629,271,316,"Tuesday",2015,2015-07-01,230
"332",2016-02-17,"Citywide","Respiratory",290,818,207,289,1604,289,290,"Wednesday",2015,2015-07-01,231
"339",2016-02-18,"Citywide","Respiratory",276,779,170,290,1515,290,276,"Thursday",2015,2015-07-01,232
"346",2016-02-19,"Citywide","Respiratory",269,722,149,254,1394,254,269,"Friday",2015,2015-07-01,233
"353",2016-02-20,"Citywide","Respiratory",283,646,153,264,1346,264,283,"Saturday",2015,2015-07-01,234
"360",2016-02-21,"Citywide","Respiratory",302,763,161,275,1501,275,302,"Sunday",2015,2015-07-01,235
"367",2016-02-22,"Citywide","Respiratory",311,911,183,327,1732,327,311,"Monday",2015,2015-07-01,236
"374",2016-02-23,"Citywide","Respiratory",272,816,194,258,1540,258,272,"Tuesday",2015,2015-07-01,237
"381",2016-02-24,"Citywide","Respiratory",247,814,152,280,1493,280,247,"Wednesday",2015,2015-07-01,238
"388",2016-02-25,"Citywide","Respiratory",279,828,181,313,1601,313,279,"Thursday",2015,2015-07-01,239
"395",2016-02-26,"Citywide","Respiratory",233,748,146,282,1409,282,233,"Friday",2015,2015-07-01,240
"402",2016-02-27,"Citywide","Respiratory",264,681,161,222,1328,222,264,"Saturday",2015,2015-07-01,241
"409",2016-02-28,"Citywide","Respiratory",260,674,230,244,1408,244,260,"Sunday",2015,2015-07-01,242
"416",2016-02-29,"Citywide","Respiratory",250,909,284,339,1782,339,250,"Monday",2015,2015-07-01,243
"423",2016-03-01,"Citywide","Respiratory",261,759,230,289,1539,289,261,"Tuesday",2015,2015-07-01,244
"430",2016-03-02,"Citywide","Respiratory",245,814,182,280,1521,280,245,"Wednesday",2015,2015-07-01,245
"437",2016-03-03,"Citywide","Respiratory",241,779,167,284,1471,284,241,"Thursday",2015,2015-07-01,246
"444",2016-03-04,"Citywide","Respiratory",253,750,212,272,1487,272,253,"Friday",2015,2015-07-01,247
"451",2016-03-05,"Citywide","Respiratory",252,649,216,242,1359,242,252,"Saturday",2015,2015-07-01,248
"458",2016-03-06,"Citywide","Respiratory",308,712,258,208,1486,208,308,"Sunday",2015,2015-07-01,249
"465",2016-03-07,"Citywide","Respiratory",317,936,337,297,1887,297,317,"Monday",2015,2015-07-01,250
"472",2016-03-08,"Citywide","Respiratory",274,872,331,338,1815,338,274,"Tuesday",2015,2015-07-01,251
"479",2016-03-09,"Citywide","Respiratory",265,871,254,303,1693,303,265,"Wednesday",2015,2015-07-01,252
"486",2016-03-10,"Citywide","Respiratory",297,817,239,302,1655,302,297,"Thursday",2015,2015-07-01,253
"493",2016-03-11,"Citywide","Respiratory",253,725,249,262,1489,262,253,"Friday",2015,2015-07-01,254
"500",2016-03-12,"Citywide","Respiratory",263,626,197,256,1342,256,263,"Saturday",2015,2015-07-01,255
"507",2016-03-13,"Citywide","Respiratory",301,641,259,260,1461,260,301,"Sunday",2015,2015-07-01,256
"514",2016-03-14,"Citywide","Respiratory",292,775,327,313,1707,313,292,"Monday",2015,2015-07-01,257
"521",2016-03-15,"Citywide","Respiratory",243,814,305,291,1653,291,243,"Tuesday",2015,2015-07-01,258
"528",2016-03-16,"Citywide","Respiratory",243,727,238,291,1499,291,243,"Wednesday",2015,2015-07-01,259
"535",2016-03-17,"Citywide","Respiratory",247,675,208,267,1397,267,247,"Thursday",2015,2015-07-01,260
"542",2016-03-18,"Citywide","Respiratory",225,684,216,291,1416,291,225,"Friday",2015,2015-07-01,261
"549",2016-03-19,"Citywide","Respiratory",245,571,190,229,1235,229,245,"Saturday",2015,2015-07-01,262
"556",2016-03-20,"Citywide","Respiratory",221,552,216,214,1203,214,221,"Sunday",2015,2015-07-01,263
"563",2016-03-21,"Citywide","Respiratory",217,726,290,300,1533,300,217,"Monday",2015,2015-07-01,264
"570",2016-03-22,"Citywide","Respiratory",217,681,239,307,1444,307,217,"Tuesday",2015,2015-07-01,265
"577",2016-03-23,"Citywide","Respiratory",205,704,246,238,1393,238,205,"Wednesday",2015,2015-07-01,266
"584",2016-03-24,"Citywide","Respiratory",219,623,192,248,1282,248,219,"Thursday",2015,2015-07-01,267
"591",2016-03-25,"Citywide","Respiratory",194,611,177,257,1239,257,194,"Friday",2015,2015-07-01,268
"598",2016-03-26,"Citywide","Respiratory",266,540,198,174,1178,174,266,"Saturday",2015,2015-07-01,269
"605",2016-03-27,"Citywide","Respiratory",227,511,214,208,1160,208,227,"Sunday",2015,2015-07-01,270
"612",2016-03-28,"Citywide","Respiratory",230,711,301,315,1557,315,230,"Monday",2015,2015-07-01,271
"619",2016-03-29,"Citywide","Respiratory",171,597,180,215,1163,215,171,"Tuesday",2015,2015-07-01,272
"626",2016-03-30,"Citywide","Respiratory",222,712,193,242,1369,242,222,"Wednesday",2015,2015-07-01,273
"633",2016-03-31,"Citywide","Respiratory",175,604,188,240,1207,240,175,"Thursday",2015,2015-07-01,274
"640",2016-04-01,"Citywide","Respiratory",205,614,150,281,1250,281,205,"Friday",2015,2015-07-01,275
"647",2016-04-02,"Citywide","Respiratory",185,516,131,228,1060,228,185,"Saturday",2015,2015-07-01,276
"654",2016-04-03,"Citywide","Respiratory",211,496,175,220,1102,220,211,"Sunday",2015,2015-07-01,277
"661",2016-04-04,"Citywide","Respiratory",175,636,206,264,1281,264,175,"Monday",2015,2015-07-01,278
"668",2016-04-05,"Citywide","Respiratory",157,567,159,227,1110,227,157,"Tuesday",2015,2015-07-01,279
"675",2016-04-06,"Citywide","Respiratory",195,587,138,229,1149,229,195,"Wednesday",2015,2015-07-01,280
"682",2016-04-07,"Citywide","Respiratory",167,527,141,263,1098,263,167,"Thursday",2015,2015-07-01,281
"689",2016-04-08,"Citywide","Respiratory",164,553,146,215,1078,215,164,"Friday",2015,2015-07-01,282
"696",2016-04-09,"Citywide","Respiratory",205,481,145,214,1045,214,205,"Saturday",2015,2015-07-01,283
"703",2016-04-10,"Citywide","Respiratory",195,513,184,197,1089,197,195,"Sunday",2015,2015-07-01,284
"710",2016-04-11,"Citywide","Respiratory",203,613,248,289,1353,289,203,"Monday",2015,2015-07-01,285
"717",2016-04-12,"Citywide","Respiratory",176,574,218,246,1214,246,176,"Tuesday",2015,2015-07-01,286
"724",2016-04-13,"Citywide","Respiratory",196,527,169,246,1138,246,196,"Wednesday",2015,2015-07-01,287
"731",2016-04-14,"Citywide","Respiratory",184,541,185,211,1121,211,184,"Thursday",2015,2015-07-01,288
"738",2016-04-15,"Citywide","Respiratory",175,525,138,215,1053,215,175,"Friday",2015,2015-07-01,289
"745",2016-04-16,"Citywide","Respiratory",187,440,145,188,960,188,187,"Saturday",2015,2015-07-01,290
"752",2016-04-17,"Citywide","Respiratory",166,423,142,208,939,208,166,"Sunday",2015,2015-07-01,291
"759",2016-04-18,"Citywide","Respiratory",199,577,229,276,1281,276,199,"Monday",2015,2015-07-01,292
"766",2016-04-19,"Citywide","Respiratory",202,525,193,265,1185,265,202,"Tuesday",2015,2015-07-01,293
"773",2016-04-20,"Citywide","Respiratory",175,543,172,242,1132,242,175,"Wednesday",2015,2015-07-01,294
"780",2016-04-21,"Citywide","Respiratory",178,527,167,254,1126,254,178,"Thursday",2015,2015-07-01,295
"787",2016-04-22,"Citywide","Respiratory",207,576,179,209,1171,209,207,"Friday",2015,2015-07-01,296
"794",2016-04-23,"Citywide","Respiratory",180,444,145,229,998,229,180,"Saturday",2015,2015-07-01,297
"801",2016-04-24,"Citywide","Respiratory",214,511,178,194,1097,194,214,"Sunday",2015,2015-07-01,298
"808",2016-04-25,"Citywide","Respiratory",186,646,173,276,1281,276,186,"Monday",2015,2015-07-01,299
"815",2016-04-26,"Citywide","Respiratory",185,570,176,259,1190,259,185,"Tuesday",2015,2015-07-01,300
"822",2016-04-27,"Citywide","Respiratory",159,606,117,211,1093,211,159,"Wednesday",2015,2015-07-01,301
"829",2016-04-28,"Citywide","Respiratory",165,494,122,244,1025,244,165,"Thursday",2015,2015-07-01,302
"836",2016-04-29,"Citywide","Respiratory",167,503,108,227,1005,227,167,"Friday",2015,2015-07-01,303
"843",2016-04-30,"Citywide","Respiratory",149,475,124,194,942,194,149,"Saturday",2015,2015-07-01,304
"850",2016-05-01,"Citywide","Respiratory",182,469,121,177,949,177,182,"Sunday",2015,2015-07-01,305
"857",2016-05-02,"Citywide","Respiratory",190,661,115,291,1257,291,190,"Monday",2015,2015-07-01,306
"864",2016-05-03,"Citywide","Respiratory",133,563,105,246,1047,246,133,"Tuesday",2015,2015-07-01,307
"871",2016-05-04,"Citywide","Respiratory",133,586,119,228,1066,228,133,"Wednesday",2015,2015-07-01,308
"878",2016-05-05,"Citywide","Respiratory",136,505,102,278,1021,278,136,"Thursday",2015,2015-07-01,309
"885",2016-05-06,"Citywide","Respiratory",139,518,96,256,1009,256,139,"Friday",2015,2015-07-01,310
"892",2016-05-07,"Citywide","Respiratory",122,453,89,203,867,203,122,"Saturday",2015,2015-07-01,311
"899",2016-05-08,"Citywide","Respiratory",166,453,105,206,930,206,166,"Sunday",2015,2015-07-01,312
"906",2016-05-09,"Citywide","Respiratory",176,626,120,277,1199,277,176,"Monday",2015,2015-07-01,313
"913",2016-05-10,"Citywide","Respiratory",166,555,105,268,1094,268,166,"Tuesday",2015,2015-07-01,314
"920",2016-05-11,"Citywide","Respiratory",163,541,142,276,1122,276,163,"Wednesday",2015,2015-07-01,315
"927",2016-05-12,"Citywide","Respiratory",138,513,147,246,1044,246,138,"Thursday",2015,2015-07-01,316
"934",2016-05-13,"Citywide","Respiratory",177,483,151,259,1070,259,177,"Friday",2015,2015-07-01,317
"941",2016-05-14,"Citywide","Respiratory",165,440,101,213,919,213,165,"Saturday",2015,2015-07-01,318
"948",2016-05-15,"Citywide","Respiratory",184,459,128,198,969,198,184,"Sunday",2015,2015-07-01,319
"955",2016-05-16,"Citywide","Respiratory",200,552,192,280,1224,280,200,"Monday",2015,2015-07-01,320
"962",2016-05-17,"Citywide","Respiratory",181,568,143,255,1147,255,181,"Tuesday",2015,2015-07-01,321
"969",2016-05-18,"Citywide","Respiratory",159,534,129,248,1070,248,159,"Wednesday",2015,2015-07-01,322
"976",2016-05-19,"Citywide","Respiratory",199,516,141,237,1093,237,199,"Thursday",2015,2015-07-01,323
"983",2016-05-20,"Citywide","Respiratory",187,482,129,218,1016,218,187,"Friday",2015,2015-07-01,324
"990",2016-05-21,"Citywide","Respiratory",173,456,129,196,954,196,173,"Saturday",2015,2015-07-01,325
"997",2016-05-22,"Citywide","Respiratory",213,418,170,220,1021,220,213,"Sunday",2015,2015-07-01,326
