Zip Code,City,County,
6001,Avon,Hartford,
6002,Bloomfield,Hartford,
6006,Windsor,Hartford,
6010,Bristol,Hartford,
6011,Bristol,Hartford,
6013,Burlington,Hartford,
6016,Broad Brook,Hartford,
6018,Canaan,Litchfield,
6019,Canton,Hartford,
6020,Canton Center,Hartford,
6021,Colebrook,Litchfield,
6022,Collinsville,Hartford,
6023,East Berlin,Hartford,
6024,East Canaan,Litchfield,
6025,East Glastonbury,Hartford,
6026,East Granby,Hartford,
6027,East Hartland,Hartford,
6028,East Windsor Hill,Hartford,
6029,Ellington,Tolland,
6030,Farmington,Hartford,
6031,Falls Village,Litchfield,
6032,Farmington,Hartford,
6033,Glastonbury,Hartford,
6034,Farmington,Hartford,
6035,Granby,Hartford,
6037,Berlin,Hartford,
6039,Lakeville,Litchfield,
6040,Manchester,Hartford,
6041,Manchester,Hartford,
6042,Manchester,Hartford,
6043,Bolton,Tolland,
6045,Manchester,Hartford,
6050,New Britain,Hartford,
6051,New Britain,Hartford,
6052,New Britain,Hartford,
6053,New Britain,Hartford,
6057,New Hartford,Litchfield,
6058,Norfolk,Litchfield,
6059,North Canton,Hartford,
6060,North Granby,Hartford,
6061,Pine Meadow,Litchfield,
6062,Plainville,Hartford,
6063,Barkhamsted,Litchfield,
6064,Poquonock,Hartford,
6065,Riverton,Litchfield,
6066,Vernon Rockville,Tolland,
6067,Rocky Hill,Hartford,
6068,Salisbury,Litchfield,
6069,Sharon,Litchfield,
6070,Simsbury,Hartford,
6071,Somers,Tolland,
6072,Somersville,Tolland,
6073,South Glastonbury,Hartford,
6074,South Windsor,Hartford,
6075,Stafford,Tolland,
6076,Stafford Springs,Tolland,
6077,Staffordville,Tolland,
6078,Suffield,Hartford,
6079,Taconic,Litchfield,
6080,Suffield,Hartford,
6081,Tariffville,Hartford,
6082,Enfield,Hartford,
6083,Enfield,Hartford,
6084,Tolland,Tolland,
6085,Unionville,Hartford,
6087,Unionville,Hartford,
6088,East Windsor,Hartford,
6089,Weatogue,Hartford,
6090,West Granby,Hartford,
6091,West Hartland,Hartford,
6092,West Simsbury,Hartford,
6093,West Suffield,Hartford,
6094,Winchester Center,Litchfield,
6095,Windsor,Hartford,
6096,Windsor Locks,Hartford,
6098,Winsted,Litchfield,
6101,Hartford,Hartford,
6102,Hartford,Hartford,
6103,Hartford,Hartford,
6104,Hartford,Hartford,
6105,Hartford,Hartford,
6106,Hartford,Hartford,
6107,West Hartford,Hartford,
6108,East Hartford,Hartford,
6109,Wethersfield,Hartford,
6110,West Hartford,Hartford,
6111,Newington,Hartford,
6112,Hartford,Hartford,
6114,Hartford,Hartford,
6115,Hartford,Hartford,
6117,West Hartford,Hartford,
6118,East Hartford,Hartford,
6119,West Hartford,Hartford,
6120,Hartford,Hartford,
6123,Hartford,Hartford,
6126,Hartford,Hartford,
6127,West Hartford,Hartford,
6128,East Hartford,Hartford,
6129,Wethersfield,Hartford,
6131,Newington,Hartford,
6132,Hartford,Hartford,
6133,West Hartford,Hartford,
6134,Hartford,Hartford,
6137,West Hartford,Hartford,
6138,East Hartford,Hartford,
6140,Hartford,Hartford,
6141,Hartford,Hartford,
6142,Hartford,Hartford,
6143,Hartford,Hartford,
6144,Hartford,Hartford,
6145,Hartford,Hartford,
6146,Hartford,Hartford,
6147,Hartford,Hartford,
6150,Hartford,Hartford,
6151,Hartford,Hartford,
6152,Hartford,Hartford,
6153,Hartford,Hartford,
6154,Hartford,Hartford,
6155,Hartford,Hartford,
6156,Hartford,Hartford,
6160,Hartford,Hartford,
6161,Hartford,Hartford,
6167,Hartford,Hartford,
6176,Hartford,Hartford,
6180,Hartford,Hartford,
6183,Hartford,Hartford,
6199,Hartford,Hartford,
6226,Willimantic,Windham,
6230,Abington,Windham,
6231,Amston,Tolland,
6232,Andover,Tolland,
6233,Ballouville,Windham,
6234,Brooklyn,Windham,
6235,Chaplin,Windham,
6237,Columbia,Tolland,
6238,Coventry,Tolland,
6239,Danielson,Windham,
6241,Dayville,Windham,
6242,Eastford,Windham,
6243,East Killingly,Windham,
6244,East Woodstock,Windham,
6245,Fabyan,Windham,
6246,Grosvenor Dale,Windham,
6247,Hampton,Windham,
6248,Hebron,Tolland,
6249,Lebanon,New London,
6250,Mansfield Center,Tolland,
6251,Mansfield Depot,Tolland,
6254,North Franklin,New London,
6255,North Grosvenordale,Windham,
6256,North Windham,Windham,
6258,Pomfret,Windham,
6259,Pomfret Center,Windham,
6260,Putnam,Windham,
6262,Quinebaug,Windham,
6263,Rogers,Windham,
6264,Scotland,Windham,
6265,South Willington,Tolland,
6266,South Windham,Windham,
6267,South Woodstock,Windham,
6268,Storrs Mansfield,Tolland,
6269,Storrs Mansfield,Tolland,
6277,Thompson,Windham,
6278,Ashford,Windham,
6279,Willington,Tolland,
6280,Windham,Windham,
6281,Woodstock,Windham,
6282,Woodstock Valley,Windham,
6320,New London,New London,
6330,Baltic,New London,
6331,Canterbury,Windham,
6332,Central Village,Windham,
6333,East Lyme,New London,
6334,Bozrah,New London,
