"","id","one","t","diff"
"1",1,1,1,0.070717991476869
"2",2,1,2,0.292680083549311
"3",3,1,3,0.0247724821661346
"4",4,1,4,-0.00249587659760311
"5",5,1,5,-0.097746477133524
"6",6,1,6,-0.0236018225621384
"7",7,1,7,0.0400924662278123
"8",8,1,8,-0.111434570957678
"9",9,1,9,0.0582789406118573
"10",10,1,10,0.0295271500604467
"11",11,1,11,-0.0759412346010774
"12",12,1,12,-0.0198929495187492
"13",13,1,13,-0.226164765400221
"14",14,1,14,-0.0788456170979361
"15",15,1,15,0.0343276536496123
"16",16,1,16,0.0466864183240652
"17",17,1,17,-0.0551329031654327
"18",18,1,18,-0.0158229527988092
"19",19,1,19,-0.0112706288349965
"20",20,1,20,0.0743923267599296
"21",21,1,21,-0.0576289780972228
"22",22,1,22,-0.095759082588649
"23",23,1,23,-0.117002234350256
"24",24,1,24,-0.0132077383693286
"25",25,1,25,0.0905137850610809
"26",26,1,26,0.0373076302780507
"27",27,1,27,0.0158842619734413
"28",28,1,28,0.122155886592963
"29",29,1,29,0.035161633126052
"30",30,1,30,0.166269209066043
"31",31,1,31,-0.0969714931242219
"32",32,1,32,-0.037603426297756
"33",33,1,33,0.039684648395081
"34",34,1,34,-0.00913827289519157
"35",35,1,35,-0.0457592129244731
"36",36,1,36,-0.107555858404024
"37",37,1,37,-0.0767011075950748
"38",38,1,38,-0.0716149978190282
"39",39,1,39,-0.0995456592369581
"40",40,1,40,0.0968223115152913
"41",41,1,41,0.17883135938381
"42",42,1,42,0.00494098762338187
"43",43,1,43,0.297494927017166
"44",44,1,44,-0.00239984948567763
"45",45,1,45,0.118594801902739
"46",46,1,46,-0.0859432077869515
"47",47,1,47,-0.102176348821804
"48",48,1,48,0.110645689307854
"49",49,1,49,0.120210891563375
"50",50,1,50,0.0346566431472294
"51",51,1,51,-0.276338416641509
"52",52,1,52,-0.289678477935376
"53",53,1,53,0.0577172397221696
"54",54,1,54,0.0941563693432138
"55",55,1,55,-0.0555029118187139
"56",56,1,56,-0.0934939949010409
"57",57,1,57,-0.0588019155235703
"58",58,1,58,-0.0802173249938752
"59",59,1,59,0.0230751902553934
"60",60,1,60,0.240160944908145
"61",61,1,61,0.0935886588889037
"62",62,1,62,0.0818319636356655
"63",63,1,63,-0.0871047621767091
"64",64,1,64,0.0683915019301085
"65",65,1,65,-0.0292157470073224
"66",66,1,66,-0.0166216538722286
"67",67,1,67,0.0242104539638347
"68",68,1,68,0.0138657234807433
"69",69,1,69,0.168505360923116
"70",70,1,70,-0.0427305090713553
"71",71,1,71,0.0323445302152781
"72",72,1,72,0.0649350503393433
"73",73,1,73,-0.13854166242753
"74",74,1,74,-0.0233422650736907
"75",75,1,75,0.0861216099522143
"76",76,1,76,-0.0213146239915982
"77",77,1,77,-0.147281491783917
"78",78,1,78,0.0519162365114471
"79",79,1,79,-0.0630956544258436
"80",80,1,80,-0.0841901186640057
"81",81,1,81,-0.151387011166464
"82",82,1,82,-0.128502980180257
"83",83,1,83,0.0964515696886194
"84",84,1,84,0.0361888814129716
"85",85,1,85,0.0360141935625224
"86",86,1,86,0.0849600412656648
"87",87,1,87,0.126571567322081
"88",88,1,88,0.135779145220524
"89",89,1,89,0.104313394425802
"90",90,1,90,-0.00982805909469257
"91",91,1,91,-0.128922902686544
"92",92,1,92,0.00923578309956587
"93",93,1,93,-0.0281275449728171
"94",94,1,94,-0.0280124285348781
"95",95,1,95,0.0168251421292556
"96",96,1,96,-0.144484310300504
"97",97,1,97,0.113129202979229
"98",98,1,98,-0.0922212082427489
"99",99,1,99,-0.0155699952064781
"100",100,1,100,-0.146054016051631
"101",101,1,101,-0.0286808009203487
"102",102,1,102,-0.068024804928734
"103",103,1,103,0.000528833745287401
"104",104,1,104,0.0326131985422752
"105",105,1,105,0.0602793831175912
"106",106,1,106,-0.0047292929665817
"107",107,1,107,-0.197160949203438
"108",108,1,108,0.0653574043944623
"109",109,1,109,-0.0177942386015278
"110",110,1,110,-0.157458817318772
"111",111,1,111,0.0986899076604831
"112",112,1,112,0.149164799903686
"113",113,1,113,0.106695692720008
"114",114,1,114,-0.0544635525183824
"115",115,1,115,0.181777471263483
