"","id","one","t","diff"
"1",1,1,1,0.111377765516714
"2",2,1,2,0.0937283830305739
"3",3,1,3,0.163956422160196
"4",4,1,4,-0.0970741701130012
"5",5,1,5,-0.142712895669149
"6",6,1,6,-0.0274138089953399
"7",7,1,7,-0.102607727924324
"8",8,1,8,-0.136553102266408
"9",9,1,9,0.094190583613523
"10",10,1,10,0.0365987504627914
"11",11,1,11,0.0982950779861956
"12",12,1,12,-0.0960141001315732
"13",13,1,13,0.0587530876841852
"14",14,1,14,-0.021043740686384
"15",15,1,15,0.0921245483000282
"16",16,1,16,0.0597715191544753
"17",17,1,17,-0.0203754303053527
"18",18,1,18,0.0220098743882517
"19",19,1,19,-0.00973536625055571
"20",20,1,20,0.0583646898726277
"21",21,1,21,0.000805031368939963
"22",22,1,22,0.0701978963336486
"23",23,1,23,-0.256118939206478
"24",24,1,24,0.056493486411675
"25",25,1,25,-0.00149903807725505
"26",26,1,26,0.0442779755714058
"27",27,1,27,-0.0827971418154506
"28",28,1,28,-0.0383298954474577
"29",29,1,29,0.0327979783655791
"30",30,1,30,0.0583002393653239
"31",31,1,31,-0.133773697499026
"32",32,1,32,-0.0337801321682957
"33",33,1,33,-0.00888200130645333
"34",34,1,34,0.0970985952013922
"35",35,1,35,0.120274761227204
"36",36,1,36,-0.00837804082093087
"37",37,1,37,-0.00542704676134491
"38",38,1,38,-0.0757271796852508
"39",39,1,39,-0.0961466241562475
"40",40,1,40,-0.0362116484683959
"41",41,1,41,0.0552972020367173
"42",42,1,42,-0.112504376667697
"43",43,1,43,-0.071199598997191
"44",44,1,44,0.119529575685938
"45",45,1,45,0.18499796900352
"46",46,1,46,-0.0400398546125724
"47",47,1,47,-0.0389704719547981
"48",48,1,48,0.0526445754100718
"49",49,1,49,-0.0392150921439406
"50",50,1,50,-0.0914109489294692
"51",51,1,51,-0.0675514588256783
"52",52,1,52,-0.119658244709286
"53",53,1,53,-0.0761144136069069
"54",54,1,54,0.106974628979843
"55",55,1,55,-0.0928045031833261
"56",56,1,56,0.00447769280606239
"57",57,1,57,0.099232407157629
"58",58,1,58,-0.0571068489606243
"59",59,1,59,-0.0483727831448713
"60",60,1,60,0.124932349412757
"61",61,1,61,0.0685476377304081
"62",62,1,62,-0.138124722008099
"63",63,1,63,0.136268102644018
"64",64,1,64,-0.0999164358470531
"65",65,1,65,-0.213494907393079
"66",66,1,66,-0.218061896558886
"67",67,1,67,0.0531789012367358
"68",68,1,68,0.116380089844343
"69",69,1,69,-0.101006751778216
"70",70,1,70,0.027750114875025
"71",71,1,71,-0.0738034571157911
"72",72,1,72,-0.0575400893984376
"73",73,1,73,-0.0166235305284894
"74",74,1,74,-0.0766199963433575
"75",75,1,75,-0.0366556121034605
"76",76,1,76,0.211255057441927
"77",77,1,77,0.127249850371992
"78",78,1,78,-0.131325336330843
"79",79,1,79,-0.0201745293393941
"80",80,1,80,-0.0760376575902877
"81",81,1,81,0.0729589011175008
"82",82,1,82,0.0142181109593164
"83",83,1,83,-0.0679939359051667
"84",84,1,84,0.0053719431318997
"85",85,1,85,-0.101633664301752
"86",86,1,86,0.0539663234939462
"87",87,1,87,0.108692523869242
"88",88,1,88,-0.0499917993330579
"89",89,1,89,0.0588618520244307
"90",90,1,90,0.0639695286598085
"91",91,1,91,-0.00583328695373205
"92",92,1,92,0.00209807886427716
"93",93,1,93,0.0648788465822509
"94",94,1,94,0.127408253574438
"95",95,1,95,0.0389946117801423
"96",96,1,96,-0.0889766379489233
"97",97,1,97,0.00115544023320487
"98",98,1,98,-0.0477704013106489
"99",99,1,99,-0.175976408954255
"100",100,1,100,0.157514783598245
"101",101,1,101,0.154693613356228
"102",102,1,102,0.000258446270374397
"103",103,1,103,0.0405967906109917
"104",104,1,104,-0.213957688423327
"105",105,1,105,-0.216811893015628
"106",106,1,106,-0.0824344559051303
"107",107,1,107,-0.042877526102968
"108",108,1,108,0.0121353175091793
"109",109,1,109,-0.0131271336948038
"110",110,1,110,-0.0998989097959481
"111",111,1,111,0.089496671133661
"112",112,1,112,0.0531162528474911
"113",113,1,113,-0.0235226638305448
"114",114,1,114,0.0459300380788729
"115",115,1,115,0.316272906931958
